city,area,altitude,pollution,wind,mintemp,maxtemp,meantemp,minhumid,maxhumid,rainy,meanrain,outlook
qzIWT,High,1390.8,20.1,W,15.4,28.6,22.0,30.946890096207927,60.19860819166844,,0,sunny
VfEdF,High,1794.2,41.2,W,15.9,33.7,24.8,12.65763301796821,74.31461907618699,,0,sunny
OqINP,Low,794.9,8.8,E,19.2,27.7,23.45,43.73610474697994,99.07608998974432,,0,sunny
pskvr,Mid,974.2,38.6,W,19.6,41.5,30.55,26.579032834189604,95.49584013323935,,0,sunny
MpuYg,Low,534.6,45.9,NE,18.1,26.5,22.3,36.19122315221116,36.80942968471132,,0,overcast
mEACU,High,963.1,5.0,S,18.9,28.3,23.6,42.20064094696303,76.1027172216324,,0,sunny
pjZOq,Mid,2493.4,28.8,E,19.9,41.9,30.9,7.328420625284558,99.6259199191133,,0,sunny
dCxmD,High,1034.5,37.6,W,15.2,27.7,21.45,44.291426638027595,82.33946642169201,,0,overcast
xTOpH,Mid,2033.5,49.8,W,17.0,27.9,22.45,26.535012508717895,54.70917050231214,,0,sunny
blqJR,Low,1313.0,3.3,SW,18.2,27.5,22.85,4.6532982700749805,41.783158676155914,,0,sunny
RFaew,High,988.7,27.1,W,15.3,41.1,28.200000000000003,48.860531209326005,79.46122782950398,,0,rainy
zjMNf,High,2041.6,28.9,W,18.6,37.8,28.2,3.8634660237579577,36.492916053336664,,0,rainy
QAvVU,High,616.2,10.1,N,15.2,40.7,27.950000000000003,10.768491182852683,19.408202601540975,,0,sunny
fMDdK,Low,633.2,28.7,SW,16.4,37.6,27.0,35.94162163826691,15.11224332536452,,0,rainy
OKwci,Mid,2429.6,48.6,N,18.6,43.1,30.85,4.532982493235961,97.52988127279752,,0,overcast
EJZAT,High,2018.4,14.6,S,15.8,41.4,28.6,2.495653995723358,56.22451329062838,,0,overcast
trUOH,Mid,1562.1,12.3,E,15.8,34.4,25.1,22.17503788230975,17.507997683857266,,0,rainy
mwXHz,Mid,1405.2,23.4,SW,15.8,38.7,27.25,11.424485621622079,87.69528106396348,,0,sunny
